"","K","Rh_1","Rh_2","Rh_3","Rh_4"
"1",1,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"2",2,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"3",3,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"4",4,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"5",5,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"6",6,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"7",7,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"8",8,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"9",9,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"10",10,1.00172830643793,1.01665903786007,1.00584517060567,1.01137703560745
"11",11,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"12",12,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"13",13,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"14",14,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"15",15,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"16",16,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"17",17,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"18",18,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"19",19,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"20",20,1.00161526793656,0.9999771542082,0.999984457384842,1.04236210275316
"21",21,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"22",22,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"23",23,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"24",24,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"25",25,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"26",26,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"27",27,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"28",28,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"29",29,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"30",30,1.0007040316484,1.00013044721541,1.00255205767004,1.00016448005578
"31",31,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"32",32,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"33",33,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"34",34,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"35",35,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"36",36,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"37",37,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"38",38,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"39",39,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
"40",40,1.00112404680876,0.999979359675791,1.01062160621443,1.0376837372278
